position,title,link,source,snippet,date,thumbnail
1,"BCA, Pertamina, dan Bank Mandiri Naik Podium CMCC 2025 di BEI",https://infobanknews.com/bca-pertamina-dan-bank-mandiri-naik-podium-ccmc-2025-di-bei/,Infobanknews,Sistem pertandingan catur dalam kompetisi ini menggunakan sistem Swiss 5 Babak. Setiap tim bertemu dengan lima tim lainnya. Setiap kemenangan mendapatkan 2...,1 month ago,https://f005.backblazeb2.com/file/hasdata-screenshots/fae0971d-5f3e-4279-8cdb-5e89186dd9dd.jpeg
2,Bank Mandiri Borong Penghargaan Bergengsi di Ajang The Asian Banker,https://finance.detik.com/berita-ekonomi-bisnis/d-7931438/bank-mandiri-borong-penghargaan-bergengsi-di-ajang-the-asian-banker,"detikFinance - Berita Ekonomi Bisnis, dan Investasi Hari Ini","Bank Mandiri pun turut mengedepankan next-generation digital technology, bank berlogo pita emas ini menghadirkan layanan unggulan seperti cash management,...",1 month ago,https://f005.backblazeb2.com/file/hasdata-screenshots/4ebec134-09b1-42b2-91c9-db5623f32586.jpeg
3,Pengajuan KUR Mandiri 2025 Ditolak? Cek Penyebab dan Solusi Lengkapnya di Sini!,https://sokoguru.id/bisnis/pengajuan-kur-mandiri-2025-ditolak-cek-penyebab-dan-solusi-lengkapnya-di-sini,Sokoguru,"Ajukan KUR Mandiri 2025 tanpa hambatan. Simak panduannya mulai dari syarat lengkap, penyebab penolakan, dan tips agar pengajuan disetujui oleh Bank Mandiri.",1 month ago,https://f005.backblazeb2.com/file/hasdata-screenshots/d02a1f16-0f1b-49f1-9deb-e7d247b6e9f1.jpeg
4,"Kolaborasi TP PKK Sulteng, Bank Mandiri, dan BKKBN Luncurkan Program Penurunan Stunting di Palu",https://gnews.co.id/kolaborasi-tp-pkk-sulteng-bank-mandiri-dan-bkkbn-luncurkan-program-penurunan-stunting-di-palu/,gNews,Upaya percepatan penurunan angka stunting di Sulteng mendapatkan momentum baru dengan diluncurkannya program Mandiri Sahabat Desa.,1 month ago,https://f005.backblazeb2.com/file/hasdata-screenshots/47209192-a0b2-4715-866b-bebb3b0072df.jpeg
5,"Intip Skema Kredit Mobil Toyota Raize di Bank Mandiri, Cicilan RP 5 Juta Selama 60 Bulan - radarbanyumas.disway.id",https://radarbanyumas.disway.id/read/136339/intip-skema-kredit-mobil-toyota-raize-di-bank-mandiri-cicilan-rp-5-juta-selama-60-bulan,radarbanyumas,"Mobil Toyota Raize tidak sekadar menawarkan tampilan luar yang gagah, tapi juga performa mesin yang mumpuni. Mobil ini dilengkapi dengan mesin turbo 1.0L yang...",1 month ago,https://f005.backblazeb2.com/file/hasdata-screenshots/aa678683-3fca-4920-8c88-a56e2445a11c.jpeg
6,"Tabel Angsuran KUR Bank Mandiri 2025, Pinjam Rp500 Juta Syarat Mudah",https://makassar.tribunnews.com/2025/05/25/tabel-angsuran-kur-bank-mandiri-2025-pinjam-rp500-juta-syarat-mudah,Tribun-timur.com,Para pengusaha bisa mengajukan pinjaman dengan suku bunga rendah sebesar 6 persen per tahun. ... TRIBUN-TIMUR.COM - Tabel angsuran KUR Bank Mandiri 2025. KUR...,1 month ago,https://f005.backblazeb2.com/file/hasdata-screenshots/484c10e9-0d01-4be4-9aa8-4818513ced96.jpeg
7,"Wajib Tahu! Ambil Pinjaman KUR Mandiri 2025 Plafon 150 Juta, Minimal Gaji Bulanan Harus Segini",https://radartasik.id/2025/05/25/wajib-tahu-ambil-pinjaman-kur-mandiri-2025-plafon-150-juta-minimal-gaji-bulanan-harus-segini/,Radartasik.id,Ingin ambil pinjaman KUR Mandiri 2025. Sebesar Rp150 juta. Tapi masih ragu. Karena takut tidak sanggup bayar cicilan?,1 month ago,https://f005.backblazeb2.com/file/hasdata-screenshots/018cd5fe-6319-4d63-90eb-270d7d671063.jpeg
8,"Cara Top Up Pinjaman KUR Mandiri Agar Disetujui, Jangan Sampai Gagal Karena Hal Ini!",https://sokoguru.id/soko%20berita/cara-top-up-pinjaman-kur-mandiri-agar-disetujui-jangan-sampai-gagal-karena-hal-ini,Sokoguru,"SOKOGURU – Banyak pelaku UMKM yang sudah menerima Kredit Usaha Rakyat (KUR) di Bank Mandiri ingin menambah pinjaman atau melakukan top up, terutama saat...",1 month ago,https://f005.backblazeb2.com/file/hasdata-screenshots/bb06d174-6039-4e8e-bf61-072c36920c8b.jpeg
9,"Syarat dan Cara Daftar Mandiri BSU Rp600 Ribu, Cair Juni 2025",https://www.pikiran-rakyat.com/ekonomi/pr-019360755/syarat-dan-cara-daftar-mandiri-bsu-rp600-ribu-cair-juni-2025?page=2,Pikiran Rakyat,Simak syarat dan cara daftar mandiri untuk mendapatkan Bantuan Subsidi Upah atau BSU yang dijadwalkan cair pada Juni 2025.,1 month ago,https://f005.backblazeb2.com/file/hasdata-screenshots/571ba53d-8277-42b6-a427-88433f908602.jpeg
10,"BTN Syariah Dinilai Siap Mandiri, Tunjukkan Fondasi Kuat Jelang Spin-Off",https://aktual.com/btn-syariah-dinilai-siap-mandiri-tunjukkan-fondasi-kuat-jelang-spin-off/,Aktual.com,"Jakarta, aktual.com – BTN Syariah dinilai telah menunjukkan kesiapan kuat menuju spin-off menjadi Bank Umum Syariah (BUS), terutama untuk mendukung...",1 month ago,https://f005.backblazeb2.com/file/hasdata-screenshots/c4e127ba-c8cd-41ad-8117-1434e8384be6.jpeg
