teks,target_bank,sentimen
"Suka banget sama Bank BTN, BTN Mobile sangat stabil dan jarang error, bisa diandalkan.",Bank BTN,positif
"Menurutku, sering nemu ATM Bank BCA yang uangnya pecahan besar semua, gak ada 50 ribu. Beda banget sama Bank BNI yang lebih lancar.",Bank BCA,negatif
"Menurutku, sering nemu ATM Bank BCA yang uangnya pecahan besar semua, gak ada 50 ribu. Beda banget sama Bank BNI yang lebih lancar.",Bank BNI,positif
"Petugas di kantor cabang bank mandiri ramah-ramah dan informatif, namun layar sentuh di ATM Bank BCA sering tidak responsif.",Bank Mandiri,positif
"Petugas di kantor cabang bank mandiri ramah-ramah dan informatif, namun layar sentuh di ATM Bank BCA sering tidak responsif.",Bank BCA,negatif
"Pengalaman pribadiku sih, layar sentuh di ATM Bank BNI sering tidak responsif. Beda banget sama Bank Mandiri yang lebih lancar.",Bank BNI,negatif
"Pengalaman pribadiku sih, layar sentuh di ATM Bank BNI sering tidak responsif. Beda banget sama Bank Mandiri yang lebih lancar.",Bank Mandiri,positif
"Selain tarik tunai, fitur setor tunai di atm bank bca sangat membantu, beda cerita kalau BNI Mobile Banking sering tiba-tiba logout sendiri, harus login ulang terus.",Bank BCA,positif
"Selain tarik tunai, fitur setor tunai di atm bank bca sangat membantu, beda cerita kalau BNI Mobile Banking sering tiba-tiba logout sendiri, harus login ulang terus.",Bank BNI,negatif
sedang mempertimbangkan antara Bank Mandiri dan Bank BNI untuk KPR.,Bank Mandiri,netral
"Atm bank bca jarang kosong uangnya, selalu terisi, beda cerita kalau ATM Bank BTN sering offline atau rusak, pas butuh malah gak bisa dipakai.",Bank BCA,positif
"Atm bank bca jarang kosong uangnya, selalu terisi, beda cerita kalau ATM Bank BTN sering offline atau rusak, pas butuh malah gak bisa dipakai.",Bank BTN,negatif
"Kalau boleh jujur, agak kecewa sama Bank BTN, banyak biaya tersembunyi kalau pakai Bank BTN, tiba-tiba saldo kepotong.",Bank BTN,negatif
"Teman-teman, minta pendapat dong, untuk nabung lebih baik Bank BCA atau Bank BNI ya? Lagi bingung nih.",Bank BCA,netral
"Teman-teman, minta pendapat dong, untuk nabung lebih baik Bank BCA atau Bank BNI ya? Lagi bingung nih.",Bank BNI,netral
"Kalau boleh jujur, agak kecewa sama Bank Mandiri, kena biaya notifikasi SMS padahal sudah ada notif dari aplikasi.",Bank Mandiri,negatif
"Qris di livin by mandiri responsif dan gak pernah gagal, sat set bayarnya, tapi kena biaya notifikasi SMS padahal sudah ada notif dari aplikasi.",Bank Mandiri,positif
"Qris di livin by mandiri responsif dan gak pernah gagal, sat set bayarnya, tapi kena biaya notifikasi SMS padahal sudah ada notif dari aplikasi.",Bank BTN,negatif
"Sering dapat promo menarik dari kartu kredit bank bni, diskonnya lumayan, padahal CS di social media Bank BCA balasnya lama dan sering template jawabannya.",Bank BNI,positif
"Sering dapat promo menarik dari kartu kredit bank bni, diskonnya lumayan, padahal CS di social media Bank BCA balasnya lama dan sering template jawabannya.",Bank BCA,negatif
"Jujur, untuk Bank BCA, proses verifikasi buka rekening Bank BCA via video call cepat dan mudah, sayangnya biaya admin bulanan Bank BCA lumayan mahal ya, apalagi kalau jarang dipakai.",Bank BCA,campuran
"Teman-teman, minta pendapat dong, untuk nabung lebih baik Bank BTN atau Bank Mandiri ya? Lagi bingung nih.",Bank BTN,netral
"Teman-teman, minta pendapat dong, untuk nabung lebih baik Bank BTN atau Bank Mandiri ya? Lagi bingung nih.",Bank Mandiri,netral
"Suka banget sama Bank BTN, cicilan 0% dari Bank BTN ngebantu banget buat beli barang elektronik.",Bank BTN,positif
rekening Bank Mandiri saya gunakan khusus untuk tabungan.,Bank Mandiri,netral
"Pemegang kartu debit bank btn sering dapat cashback di supermarket, tapi kena biaya notifikasi SMS padahal sudah ada notif dari aplikasi.",Bank BTN,positif
"Pemegang kartu debit bank btn sering dapat cashback di supermarket, tapi kena biaya notifikasi SMS padahal sudah ada notif dari aplikasi.",Bank Mandiri,negatif
"Buka rekening bank bni sekarang bisa full online, gak sampai 10 menit jadi. Kalau Bank Mandiri sih standar aja menurutku.",Bank BNI,positif
"Buka rekening bank bni sekarang bisa full online, gak sampai 10 menit jadi. Kalau Bank Mandiri sih standar aja menurutku.",Bank Mandiri,netral
baru saja memindahkan rekening gaji saya ke Bank BTN.,Bank BTN,netral
sedang mempertimbangkan antara Bank Mandiri dan Bank BCA untuk KPR.,Bank Mandiri,netral
"Suka banget sama Bank Mandiri, biaya admin bulanannya worth it dengan semua kemudahan yang didapat.",Bank Mandiri,positif
"Pengalaman pribadiku sih, untuk Bank BCA, selain tarik tunai, fitur setor tunai di ATM Bank BCA sangat membantu, beda cerita kalau susah banget mau transfer pakai myBCA, muter-muter terus menunya.",Bank BCA,campuran
"Kalau boleh jujur, keamanan data di Bank Mandiri perlu ditingkatkan lagi, masih was-was soal phising. Beda banget sama Bank BCA yang lebih lancar.",Bank Mandiri,negatif
"Kalau boleh jujur, keamanan data di Bank Mandiri perlu ditingkatkan lagi, masih was-was soal phising. Beda banget sama Bank BCA yang lebih lancar.",Bank BCA,positif
saya punya rekening di Bank BNI dan juga di Bank BTN.,Bank BNI,netral
"Sering dapat promo menarik dari kartu kredit bank btn, diskonnya lumayan, tapi telepon CS Bank BNI antrinya lama banget, habis pulsa banyak cuma buat nunggu.",Bank BTN,positif
"Sering dapat promo menarik dari kartu kredit bank btn, diskonnya lumayan, tapi telepon CS Bank BNI antrinya lama banget, habis pulsa banyak cuma buat nunggu.",Bank BNI,negatif
"Kalau boleh jujur, untuk Bank BTN, suka banget karena Bank BTN banyak promo transfer gratis via BI-FAST, di sisi lain CS Bank BTN kurang solutif, masalah saya dioper-oper terus tanpa ada kejelasan.",Bank BTN,campuran
"Menurutku, untuk Bank BCA, login di myBCA sekarang cepat pakai biometrik, praktis!, tapi keamanan data di Bank BCA perlu ditingkatkan lagi, masih was-was soal phising.",Bank BCA,campuran
"Teman-teman, minta pendapat dong, untuk nabung lebih baik Bank Mandiri atau Bank BNI ya? Lagi bingung nih.",Bank Mandiri,netral
"Teman-teman, minta pendapat dong, untuk nabung lebih baik Bank Mandiri atau Bank BNI ya? Lagi bingung nih.",Bank BNI,netral
"Atm bank bca mudah ditemukan di mana-mana, bahkan di kota kecil, namun kena biaya notifikasi SMS padahal sudah ada notif dari aplikasi.",Bank BCA,positif
"Atm bank bca mudah ditemukan di mana-mana, bahkan di kota kecil, namun kena biaya notifikasi SMS padahal sudah ada notif dari aplikasi.",Bank BTN,negatif
"Sejauh ini, proses blokir kartu Bank BTN kalau hilang ribet dan butuh waktu lama. Beda banget sama Bank Mandiri yang lebih lancar.",Bank BTN,negatif
"Sejauh ini, proses blokir kartu Bank BTN kalau hilang ribet dan butuh waktu lama. Beda banget sama Bank Mandiri yang lebih lancar.",Bank Mandiri,positif
"Top up e-wallet dari bni mobile banking instan masuknya, padahal ATM Bank BTN sering offline atau rusak, pas butuh malah gak bisa dipakai.",Bank BNI,positif
"Top up e-wallet dari bni mobile banking instan masuknya, padahal ATM Bank BTN sering offline atau rusak, pas butuh malah gak bisa dipakai.",Bank BTN,negatif
"Suka banget sama Bank Mandiri, pemegang kartu debit Bank Mandiri sering dapat cashback di supermarket.",Bank Mandiri,positif
"Pengalaman pribadiku sih, keamanan data di Bank BCA perlu ditingkatkan lagi, masih was-was soal phising. Beda banget sama Bank BTN yang lebih lancar.",Bank BCA,negatif
"Pengalaman pribadiku sih, keamanan data di Bank BCA perlu ditingkatkan lagi, masih was-was soal phising. Beda banget sama Bank BTN yang lebih lancar.",Bank BTN,positif
"Buka rekening bank bni sekarang bisa full online, gak sampai 10 menit jadi. Kalau Bank Mandiri sih standar aja menurutku.",Bank BNI,positif
"Buka rekening bank bni sekarang bisa full online, gak sampai 10 menit jadi. Kalau Bank Mandiri sih standar aja menurutku.",Bank Mandiri,netral
"Pengalaman pribadiku sih, untuk Bank Mandiri, kalau transfer ke sesama Bank Mandiri gratis, jadi sering kupakai, tapi UI/UX dari Livin by Mandiri agak membingungkan untuk orang tua, terlalu rumit.",Bank Mandiri,campuran
menggunakan Bank BTN untuk keperluan bisnis dan transaksi harian.,Bank BTN,netral
"Jaringan atm bank bca sangat luas, jadi gampang tarik tunai. Kalau Bank BTN sih standar aja menurutku.",Bank BCA,positif
"Jaringan atm bank bca sangat luas, jadi gampang tarik tunai. Kalau Bank BTN sih standar aja menurutku.",Bank BTN,netral
"Walaupun antre, pelayanan di teller bank mandiri efisien dan cepat, sayangnya antrian di kantor cabang Bank BNI panjangnya bukan main, bisa habis setengah hari.",Bank Mandiri,positif
"Walaupun antre, pelayanan di teller bank mandiri efisien dan cepat, sayangnya antrian di kantor cabang Bank BNI panjangnya bukan main, bisa habis setengah hari.",Bank BNI,negatif
"Sejauh ini, untuk Bank BTN, proses verifikasi buka rekening Bank BTN via video call cepat dan mudah, namun banyak biaya tersembunyi kalau pakai Bank BTN, tiba-tiba saldo kepotong.",Bank BTN,campuran
"Teman-teman, minta pendapat dong, untuk nabung lebih baik Bank Mandiri atau Bank BTN ya? Lagi bingung nih.",Bank Mandiri,netral
"Teman-teman, minta pendapat dong, untuk nabung lebih baik Bank Mandiri atau Bank BTN ya? Lagi bingung nih.",Bank BTN,netral
rekening Bank BTN saya gunakan khusus untuk tabungan.,Bank BTN,netral
"Pengalaman pribadiku sih, agak kecewa sama Bank Mandiri, Livin by Mandiri lemot banget kalau dipakai pas jam sibuk, loadingnya lama.",Bank Mandiri,negatif
saya punya rekening di Bank Mandiri dan juga di Bank BNI.,Bank Mandiri,netral
"Pengalaman pribadiku sih, keamanan data di Bank Mandiri perlu ditingkatkan lagi, masih was-was soal phising. Beda banget sama Bank BTN yang lebih lancar.",Bank Mandiri,negatif
"Pengalaman pribadiku sih, keamanan data di Bank Mandiri perlu ditingkatkan lagi, masih was-was soal phising. Beda banget sama Bank BTN yang lebih lancar.",Bank BTN,positif
menggunakan Bank BTN untuk keperluan bisnis dan transaksi harian.,Bank BTN,netral
"Kalau boleh jujur, agak kecewa sama Bank BTN, susah banget nyari ATM Bank BTN di daerah saya, harus pergi jauh.",Bank BTN,negatif
"Menurutku, untuk Bank Mandiri, biaya admin bulanannya worth it dengan semua kemudahan yang didapat, sayangnya CS di social media Bank Mandiri balasnya lama dan sering template jawabannya.",Bank Mandiri,campuran
"Sejauh ini, agak kecewa sama Bank Mandiri, sering nemu ATM Bank Mandiri yang uangnya pecahan besar semua, gak ada 50 ribu.",Bank Mandiri,negatif
"Jujur, untuk Bank BNI, tampilan BNI Mobile Banking modern dan user-friendly, enak dilihat, beda cerita kalau kena biaya notifikasi SMS padahal sudah ada notif dari aplikasi.",Bank BNI,campuran
"Teman-teman, minta pendapat dong, untuk nabung lebih baik Bank BNI atau Bank Mandiri ya? Lagi bingung nih.",Bank BNI,netral
"Teman-teman, minta pendapat dong, untuk nabung lebih baik Bank BNI atau Bank Mandiri ya? Lagi bingung nih.",Bank Mandiri,netral
"Jaringan atm bank btn sangat luas, jadi gampang tarik tunai. Kalau Bank Mandiri sih standar aja menurutku.",Bank BTN,positif
"Jaringan atm bank btn sangat luas, jadi gampang tarik tunai. Kalau Bank Mandiri sih standar aja menurutku.",Bank Mandiri,netral
"Suka banget sama Bank Mandiri, buka rekening Bank Mandiri sekarang bisa full online, gak sampai 10 menit jadi.",Bank Mandiri,positif
saya adalah nasabah Bank BNI sudah 5 tahun.,Bank BNI,netral
Pemegang kartu debit bank bca sering dapat cashback di supermarket. Kalau Bank Mandiri sih standar aja menurutku.,Bank BCA,positif
Pemegang kartu debit bank bca sering dapat cashback di supermarket. Kalau Bank Mandiri sih standar aja menurutku.,Bank Mandiri,netral
"Pengalaman pribadiku sih, agak kecewa sama Bank BCA, proses blokir kartu Bank BCA kalau hilang ribet dan butuh waktu lama.",Bank BCA,negatif
saya punya rekening di Bank Mandiri dan juga di Bank BNI.,Bank Mandiri,netral
"Walaupun antre, pelayanan di teller bank bni efisien dan cepat, sayangnya banyak biaya tersembunyi kalau pakai Bank BCA, tiba-tiba saldo kepotong.",Bank BNI,positif
"Walaupun antre, pelayanan di teller bank bni efisien dan cepat, sayangnya banyak biaya tersembunyi kalau pakai Bank BCA, tiba-tiba saldo kepotong.",Bank BCA,negatif
