teks,target_bank,sentimen
"Tadi, saat transfer ke orang tua, petugas di kantor cabang Bank BRI ramah-ramah dan informatif. Bank BRI setara dengan Bank Mandiri sih.",Bank BRI,positif
"saya punya rekening di Bank BCA dan juga di Bank Mandiri, sambil ngecek saldo.",Bank BCA,netral
"Sebagai yang untuk usaha kecil, dokumen yang dibutuhkan buka rekening Bank BNI simpel, cuma KTP. Bank BNI cocok banget buat kebutuhan saya.",Bank BNI,positif
"Kalau menurut saya, Bank BCA overall bagus, ATM Bank BCA bisa deposit cek, praktis untuk yang bisnis dan priority banking Bank BCA layanannya premium banget, walaupun parkir di gedung Bank BCA mahal dan terbatas.",Bank BCA,campuran
"Sejauh ini, Bank BNI overall bagus, gak ada setoran awal minimum yang besar untuk buka tabungan di Bank BNI dan integrasi dengan berbagai platform digital di Bank BNI seamless, namun notifikasi transaksi dari BNI Mobile Banking sering telat masuk, jadi was-was.",Bank BNI,campuran
"Menurutku, Bank Mandiri overall bagus, live chat di website Bank Mandiri selalu ada yang standby dan SBN dan obligasi di Bank Mandiri pilihan investasinya beragam, walaupun AC di kantor cabang Bank Mandiri kurang dingin, gerah nunggu.",Bank Mandiri,campuran
"Guys, Bank BRI atau Bank BCA ya buat kredit rumah? Lagi galau nih",Bank BRI,netral
"Kalau boleh jujur, Bank Mandiri overall bagus, kolaborasi Bank Mandiri dengan e-commerce sering ada flash sale dan CS Bank Mandiri via WhatsApp responsif 24/7, sangat membantu, meski Livin by Mandiri lemot banget kalau dipakai pas jam sibuk, loadingnya lama.",Bank Mandiri,campuran
"Belakangan AC di kantor cabang Bank BNI kurang dingin, gerah nunggu bener-bener. Kecewa sama Bank BNI.",Bank BNI,negatif
"Guys, Bank BNI atau Bank BRI ya buat kredit rumah? Lagi galau nih",Bank BRI,netral
"Kalau menurut saya, Bank BRI overall bagus, teknologi AI di Bank BRI membantu deteksi fraud dengan akurat dan kolaborasi Bank BRI dengan e-commerce sering ada flash sale, padahal ruang ATM Bank BRI sering kotor dan kurang terawat.",Bank BRI,campuran
"1 bulan pakai Bank BNI, impressi pertama positif",Bank BNI,positif
"Dari pengalaman, waktu lagi busy, font di BRImo terlalu kecil, susah dibaca orang tua total. Mending pindah ke Bank BNI aja kayaknya.",Bank BRI,negatif
Api bank bni untuk developer sangat well-documented. Gaskeun deh ke Bank BNI!,Bank BNI,positif
"Menurutku, sistem keamanan Bank BCA menggunakan enkripsi tingkat militer, tapi keamanan data di Bank BRI perlu ditingkatkan lagi, masih was-was soal phising super.",Bank BRI,negatif
"Sejauh ini, Bank Mandiri overall bagus, kartu debit Bank Mandiri langsung aktif setelah rekening jadi dan robo advisor Bank Mandiri membantu pilih portofolio yang tepat, beda cerita kalau kena biaya notifikasi SMS padahal sudah ada notif dari aplikasi.",Bank Mandiri,campuran
"Sebagai yang sebagai freelancer, inovasi fintech Bank BCA selalu di depan dibanding kompetitor. Bank BCA cocok banget buat kebutuhan saya.",Bank BCA,positif
"Kalau boleh jujur, Bank BNI overall bagus, bisa beli emas digital langsung dari aplikasi Bank BNI dan promo cashback Bank BNI sering banget, lumayan buat tambahan, padahal jam operasional cabang Bank BNI terbatas, sulit pas hari kerja.",Bank BNI,campuran
Bank BCA buka cabang baru di deket rumah saya sejak kemarin.,Bank BCA,netral
"Lagi compare Bank Mandiri vs Bank BCA, ada masukan?",Bank Mandiri,netral
"Sejauh ini, Bank Mandiri overall bagus, buka rekening Bank Mandiri sekarang bisa full online, gak sampai 10 menit jadi dan fitur investasi di Bank Mandiri mudah dipahami pemula, di sisi lain telepon CS Bank Mandiri antrinya lama banget, habis pulsa banyak cuma buat nunggu.",Bank Mandiri,campuran
Ada yang pernah pakai Bank Mandiri dan Bank BCA? Share pengalaman dong,Bank Mandiri,netral
"Pengalaman pribadiku sih, Bank Mandiri overall bagus, selain tarik tunai, fitur setor tunai di ATM Bank Mandiri sangat membantu dan program poin reward Bank Mandiri bisa ditukar berbagai hadiah menarik, beda cerita kalau Livin by Mandiri crash kalau hp storage penuh, gak ada warning.",Bank Mandiri,campuran
"Kalau menurut saya, dokumen yang dibutuhkan buka rekening Bank Mandiri simpel, cuma KTP, tapi keamanan data di Bank BRI perlu ditingkatkan lagi, masih was-was soal phising sangat.",Bank Mandiri,positif
"Kesel gila sama Bank BNI, bulan ini data breach di Bank BNI beberapa waktu lalu bikin khawatir.",Bank BNI,negatif
"Kalau boleh jujur, ketika lagi traveling, gak bisa customize dashboard di Livin by Mandiri, layout-nya kaku parah. Mending pindah ke Bank BRI aja kayaknya.",Bank Mandiri,negatif
"Honestly, Bank Mandiri overall bagus, CS Bank Mandiri sabar banget jelasinnya, gak bikin bingung dan weekend sale Bank Mandiri selalu ada promo hotel dan travel, cuma keamanan area ATM Bank Mandiri kurang, sering ada orang mencurigakan.",Bank Mandiri,campuran
"Sebagai yang pensiun dari bank lama, sering dapat promo menarik dari kartu kredit Bank BNI, diskonnya lumayan. Bank BNI cocok banget buat kebutuhan saya.",Bank BNI,positif
"Terus terang, biaya admin Bank Mandiri cukup terjangkau, sesuai dengan layanannya, padahal keamanan area ATM Bank BRI kurang, sering ada orang mencurigakan total.",Bank Mandiri,positif
"Lagi compare Bank BCA vs Bank BNI, ada masukan?",Bank BNI,netral
"Sebagai yang sebagai freelancer, Bank BCA banyak kerjasama dengan merchant, jadi banyak diskon F&B. Bank BCA cocok banget buat kebutuhan saya.",Bank BCA,positif
"Lagi compare Bank BCA vs Bank BRI, ada masukan?",Bank BCA,netral
"Terus terang, teknologi AI di Bank BCA membantu deteksi fraud dengan akurat, walaupun CS di social media Bank BNI balasnya lama dan sering template jawabannya ekstrem.",Bank BNI,negatif
"Guys, Bank BRI atau Bank Mandiri ya buat kredit rumah? Lagi galau nih",Bank Mandiri,netral
"Terus terang, Bank BRI overall bagus, gak ada setoran awal minimum yang besar untuk buka tabungan di Bank BRI dan antrian di ATM Bank BRI biasanya cepat karena mesinnya responsif, sayangnya kasus fraud yang lambat ditangani tim Bank BRI.",Bank BRI,campuran
"Menurutku, Bank BCA overall bagus, sering dapat promo menarik dari kartu kredit Bank BCA, diskonnya lumayan dan SBN dan obligasi di Bank BCA pilihan investasinya beragam, di sisi lain receipt ATM Bank BCA sering habis kertas atau blur printnya.",Bank BCA,campuran
"Menurutku, Bank BRI overall bagus, API Bank BRI untuk developer sangat well-documented dan bisa atur budget dan tracking pengeluaran di BRImo, sangat membantu, tapi email complaint ke Bank BRI gak pernah dibalas dengan tuntas.",Bank BRI,campuran
"Lagi compare Bank BCA vs Bank BNI, ada masukan?",Bank BNI,netral
