comment,sentinment,score,label
"Tadi, saat transfer ke orang tua, petugas di kantor cabang Bank BRI ramah-ramah dan informatif. Bank BRI setara dengan Bank Mandiri sih.",positive,0.9887563586235046,positif
"saya punya rekening di Bank BCA dan juga di Bank Mandiri, sambil ngecek saldo.",neutral,0.9970567226409912,netral
"Sebagai yang untuk usaha kecil, dokumen yang dibutuhkan buka rekening Bank BNI simpel, cuma KTP. Bank BNI cocok banget buat kebutuhan saya.",positive,0.9873926043510437,positif
"Kalau menurut saya, Bank BCA overall bagus, ATM Bank BCA bisa deposit cek, praktis untuk yang bisnis dan priority banking Bank BCA layanannya premium banget, walaupun parkir di gedung Bank BCA mahal dan terbatas.",positive,0.9953858256340027,campuran
"Sejauh ini, Bank BNI overall bagus, gak ada setoran awal minimum yang besar untuk buka tabungan di Bank BNI dan integrasi dengan berbagai platform digital di Bank BNI seamless, namun notifikasi transaksi dari BNI Mobile Banking sering telat masuk, jadi was-was.",negative,0.9792040586471558,campuran
"Menurutku, Bank Mandiri overall bagus, live chat di website Bank Mandiri selalu ada yang standby dan SBN dan obligasi di Bank Mandiri pilihan investasinya beragam, walaupun AC di kantor cabang Bank Mandiri kurang dingin, gerah nunggu.",positive,0.9910030364990234,campuran
"Guys, Bank BRI atau Bank BCA ya buat kredit rumah? Lagi galau nih",neutral,0.8912891149520874,netral
"Kalau boleh jujur, Bank Mandiri overall bagus, kolaborasi Bank Mandiri dengan e-commerce sering ada flash sale dan CS Bank Mandiri via WhatsApp responsif 24/7, sangat membantu, meski Livin by Mandiri lemot banget kalau dipakai pas jam sibuk, loadingnya lama.",positive,0.98423832654953,campuran
"Belakangan AC di kantor cabang Bank BNI kurang dingin, gerah nunggu bener-bener. Kecewa sama Bank BNI.",negative,0.9979197382926941,negatif
"Guys, Bank BNI atau Bank BRI ya buat kredit rumah? Lagi galau nih",neutral,0.8849978446960449,netral
"Kalau menurut saya, Bank BRI overall bagus, teknologi AI di Bank BRI membantu deteksi fraud dengan akurat dan kolaborasi Bank BRI dengan e-commerce sering ada flash sale, padahal ruang ATM Bank BRI sering kotor dan kurang terawat.",negative,0.8042485117912292,campuran
"1 bulan pakai Bank BNI, impressi pertama positif",neutral,0.9759932160377502,positif
"Dari pengalaman, waktu lagi busy, font di BRImo terlalu kecil, susah dibaca orang tua total. Mending pindah ke Bank BNI aja kayaknya.",negative,0.9808517694473267,negatif
Api bank bni untuk developer sangat well-documented. Gaskeun deh ke Bank BNI!,positive,0.7944287061691284,positif
