teks,target_bank,sentimen
"Kalau boleh jujur, pas tanggal tua, sempat khawatir dengan kasus skimming di Bank Mandiri, jadi takut nabung banyak ekstrem. Mending pindah ke Bank BCA aja kayaknya.",Bank Mandiri,negatif
"Kalau transfer ke sesama bank bni gratis, jadi sering kupakai, walaupun ATM Bank BRI gak ada fasilitas deposit, harus ke teller.",Bank BNI,positif
"Sebagai yang pensiun dari bank lama, bisa beli emas digital langsung dari aplikasi Bank BCA. Bank BCA cocok banget buat kebutuhan saya.",Bank BCA,positif
"Kalau dari segi promo, program poin reward Bank Mandiri bisa ditukar berbagai hadiah menarik. Tapi kalau promo, pemegang kartu debit Bank BRI sering dapat cashback di supermarket. Susah milihnya.",Bank Mandiri,positif
"Dari pengalaman, Bank BNI overall bagus, top up e-wallet dari BNI Mobile Banking instan masuknya dan bisa bayar tagihan listrik dan PDAM di ATM Bank BNI, di sisi lain nomor antrian di Bank BNI sering error atau loncat-loncat.",Bank BNI,campuran
"Kolaborasi bank mandiri dengan e-commerce sering ada flash sale, akan tetapi pernah ada kasus double charge di kartu kredit Bank BNI.",Bank Mandiri,positif
"Kalau dari segi teknologi, API Bank BNI untuk developer sangat well-documented. Tapi kalau promo, pemegang kartu debit Bank BRI sering dapat cashback di supermarket. Susah milihnya.",Bank BNI,positif
anak saya baru buka tabungan pelajar di Bank BCA.,Bank BCA,netral
"baru saja memindahkan rekening gaji saya ke Bank BNI, sambil ngecek saldo.",Bank BNI,netral
"Satpam di bank bca sigap membantu nasabah yang kebingungan, cuma keamanan area ATM Bank BNI kurang, sering ada orang mencurigakan.",Bank BCA,positif
"Minta saran dong, antara Bank BCA dan Bank Mandiri mana yang lebih worth it?",Bank BCA,netral
Ada yang pernah pakai Bank BRI dan Bank Mandiri? Share pengalaman dong,Bank BRI,netral
"Kalau boleh jujur, Bank BCA overall bagus, SBN dan obligasi di Bank BCA pilihan investasinya beragam dan gak ada biaya top up ke e-wallet dari Bank BCA, hemat!, padahal CS Bank BCA sering putus sambungan di tengah pembicaraan.",Bank BCA,campuran
"Sejauh ini, saat gajian, myBCA makan banyak memori dan baterai hp total. Mending pindah ke Bank BNI aja kayaknya.",Bank BCA,negatif
"Fitur investasi di bank mandiri mudah dipahami pemula, namun layar sentuh di ATM Bank BRI sering tidak responsif.",Bank BRI,negatif
"Dari tadi pagi, pas weekend, Bank BNI banyak kerjasama dengan merchant, jadi banyak diskon F&B. Bank BNI lebih worth it dibanding Bank BCA sih.",Bank BCA,negatif
"Sebagai yang ganti dari bank konvensional, sistem keamanan Bank BCA menggunakan enkripsi tingkat militer. Bank BCA cocok banget buat kebutuhan saya.",Bank BCA,positif
"Sebagai yang buat anak kuliah, ATM Bank BRI mudah ditemukan di mana-mana, bahkan di kota kecil. Bank BRI cocok banget buat kebutuhan saya.",Bank BRI,positif
"Dari pengalaman, Bank BRI overall bagus, teknologi AI di Bank BRI membantu deteksi fraud dengan akurat dan kartu debit Bank BRI langsung aktif setelah rekening jadi, meski ruang ATM Bank BRI sering kotor dan kurang terawat.",Bank BRI,campuran
"Pengalaman pribadiku sih, ATM Bank Mandiri bisa deposit cek, praktis untuk yang bisnis, meski receipt ATM Bank BRI sering habis kertas atau blur printnya luar biasa.",Bank BRI,negatif
"Pengalaman pribadiku sih, Bank Mandiri overall bagus, bisa bayar tagihan listrik dan PDAM di ATM Bank Mandiri dan fitur cardless di Livin by Mandiri ngebantu banget pas dompet ketinggalan, padahal biaya tarik tunai di ATM bank lain dari Bank Mandiri selangit.",Bank Mandiri,campuran
"Bulan ini, pas system maintenance, fitur split bill di myBCA memudahkan patungan sama teman. Bank BCA masih di atas Bank BRI sih.",Bank BCA,positif
"Kalau boleh jujur, cicilan 0% dari Bank BRI ngebantu banget buat beli barang elektronik, tapi keamanan data di Bank BNI perlu ditingkatkan lagi, masih was-was soal phising sangat.",Bank BRI,positif
"Kalau dari segi biaya, biaya admin bulanannya worth it dengan semua kemudahan yang didapat. Tapi kalau biaya, tabungan Bank BRI gak ada minimum saldo yang memberatkan. Susah milihnya.",Bank BNI,positif
"Sejak pakai, Bank Mandiri overall bagus, transfer pakai Livin by Mandiri anti ribet, prosesnya cepat dan simpel dan reksadana di Bank Mandiri performanya konsisten bagus, cuma proses blokir kartu Bank Mandiri kalau hilang ribet dan butuh waktu lama.",Bank Mandiri,campuran
"Fitur di brimo lengkap banget, semua bisa dari hp, gak perlu ke cabang, di sisi lain follow up dari CS Bank BNI lemah, janji gak ditepati.",Bank BRI,positif
"Sebagai yang first time banking, transfer pakai BNI Mobile Banking anti ribet, prosesnya cepat dan simpel. Bank BNI cocok banget buat kebutuhan saya.",Bank BNI,positif
Biaya transfer online bank mandiri lebih murah dari yang offline. Recommend luar biasa buat yang mau coba Bank Mandiri!,Bank Mandiri,positif
"Atm bank bri bisa deposit cek, praktis untuk yang bisnis. Gaskeun deh ke Bank BRI!",Bank BRI,positif
"Guys, Bank BNI atau Bank BCA ya buat kredit rumah? Lagi galau nih",Bank BNI,netral
