teks,target_bank,sentimen
"Sebagai yang first time banking, gak ada biaya top up ke e-wallet dari Bank BRI, hemat!. Bank BRI cocok banget buat kebutuhan saya.",Bank BRI,positif
"Kalau boleh jujur, Bank BNI overall bagus, suka banget karena Bank BNI banyak promo transfer gratis via BI-FAST dan program poin reward Bank BNI bisa ditukar berbagai hadiah menarik, sayangnya sering nemu ATM Bank BNI yang uangnya pecahan besar semua, gak ada 50 ribu.",Bank BNI,campuran
"Lagi compare Bank BNI vs Bank Mandiri, ada masukan?",Bank BNI,netral
"Jujur, SBN dan obligasi di Bank BRI pilihan investasinya beragam, padahal loading time BNI Mobile Banking makin lama setelah update terakhir super.",Bank BRI,positif
"Proses verifikasi buka rekening bank bri via video call cepat dan mudah, padahal font di BNI Mobile Banking terlalu kecil, susah dibaca orang tua.",Bank BNI,negatif
"Kesel banget sama Bank BRI, belakangan susah banget mau transfer pakai BRImo, muter-muter terus menunya.",Bank BRI,negatif
Ada yang pernah pakai Bank BNI dan Bank Mandiri? Share pengalaman dong,Bank BNI,netral
"Sebagai yang ganti dari bank konvensional, kolaborasi Bank BCA dengan e-commerce sering ada flash sale. Bank BCA cocok banget buat kebutuhan saya.",Bank BCA,positif
Sbn dan obligasi di bank mandiri pilihan investasinya beragam. Worth it banget pilih Bank Mandiri!,Bank Mandiri,positif
"Pengalaman pribadiku sih, API Bank Mandiri untuk developer sangat well-documented, meski follow up dari CS Bank BRI lemah, janji gak ditepati luar biasa.",Bank BRI,negatif
"Proses verifikasi buka rekening bank bca via video call cepat dan mudah, meski telepon CS Bank BNI antrinya lama banget, habis pulsa banyak cuma buat nunggu.",Bank BCA,positif
Biaya transfer online bank bri lebih murah dari yang offline. Worth it banget pilih Bank BRI!,Bank BRI,positif
"Pengalaman pribadiku sih, pas weekend, layar sentuh di ATM Bank BRI sering tidak responsif total. Mending pindah ke Bank BNI aja kayaknya.",Bank BNI,positif
"Kesel sangat sama Bank BRI, sejak kemarin penalty kalau saldo minimum gak terpenuhi di Bank BRI gede banget.",Bank BRI,negatif
"Pengalaman pribadiku sih, pas weekend, layar sentuh di ATM Bank BRI sering tidak responsif total. Mending pindah ke Bank BNI aja kayaknya.",Bank BRI,negatif
Kemarin petugas Bank BRI kurang update soal produk terbaru ekstrem. Kecewa sama Bank BRI.,Bank BRI,negatif
"Terus terang, Bank Mandiri overall bagus, buka rekening Bank Mandiri sekarang bisa full online, gak sampai 10 menit jadi dan suka banget karena Bank Mandiri banyak promo transfer gratis via BI-FAST, sayangnya parkir di gedung Bank Mandiri mahal dan terbatas.",Bank Mandiri,campuran
"Pengalaman pribadiku sih, Bank BRI overall bagus, priority banking Bank BRI layanannya premium banget dan ATM Bank BRI bisa deposit cek, praktis untuk yang bisnis, cuma data breach di Bank BRI beberapa waktu lalu bikin khawatir.",Bank BRI,campuran
"Cs bank bca via whatsapp responsif 24/7, sangat membantu, beda cerita kalau charge untuk layanan priority banking Bank BNI gak worth it.",Bank BNI,negatif
"Api bank bca untuk developer sangat well-documented, walaupun notifikasi transaksi dari Livin by Mandiri sering telat masuk, jadi was-was.",Bank Mandiri,negatif
"Jujur, Bank BCA overall bagus, pengalaman saya dengan customer service Bank BCA selalu baik dan solutif dan gak ada setoran awal minimum yang besar untuk buka tabungan di Bank BCA, padahal kasus fraud yang lambat ditangani tim Bank BCA.",Bank BCA,campuran
"Jujur, tengah malam, proses blokir kartu Bank BNI kalau hilang ribet dan butuh waktu lama sangat. Mending pindah ke Bank BRI aja kayaknya.",Bank BNI,negatif
"Pengalaman pribadiku sih, Bank Mandiri overall bagus, birthday promo dari Bank Mandiri selalu menggiurkan setiap tahun dan antrian di ATM Bank Mandiri biasanya cepat karena mesinnya responsif, tapi CS Bank Mandiri sering putus sambungan di tengah pembicaraan.",Bank Mandiri,campuran
"Kalau boleh jujur, Bank BNI overall bagus, buka rekening Bank BNI sekarang bisa full online, gak sampai 10 menit jadi dan tabungan Bank BNI gak ada minimum saldo yang memberatkan, di sisi lain parkir di gedung Bank BNI mahal dan terbatas.",Bank BNI,campuran
"Kesel ekstrem sama Bank BNI, bulan ini sistem Bank BNI pernah down berhari-hari, gak bisa akses dana.",Bank BNI,negatif
"Dari pengalaman, Bank BCA overall bagus, buka rekening Bank BCA sekarang bisa full online, gak sampai 10 menit jadi dan bisa bayar tagihan listrik dan PDAM di ATM Bank BCA, akan tetapi petugas Bank BCA kurang update soal produk terbaru.",Bank BCA,campuran
"Terus terang, complaint handling di Bank Mandiri profesional dan follow up terus, akan tetapi parkir di gedung Bank BCA mahal dan terbatas total.",Bank Mandiri,positif
"Terus terang, Bank BNI overall bagus, bisa atur budget dan tracking pengeluaran di BNI Mobile Banking, sangat membantu dan petugas di kantor cabang Bank BNI ramah-ramah dan informatif, di sisi lain jam operasional cabang Bank BNI terbatas, sulit pas hari kerja.",Bank BNI,campuran
Sejak kemarin layar sentuh di ATM Bank BNI sering tidak responsif super. Kecewa sama Bank BNI.,Bank BNI,negatif
"Sebagai yang untuk usaha kecil, ATM Bank BNI mudah ditemukan di mana-mana, bahkan di kota kecil. Bank BNI cocok banget buat kebutuhan saya.",Bank BNI,positif
"Pengalaman pribadiku sih, Bank BNI banyak kerjasama dengan merchant, jadi banyak diskon F&B, walaupun telepon CS Bank BCA antrinya lama banget, habis pulsa banyak cuma buat nunggu total.",Bank BNI,positif
"Pengalaman pribadiku sih, saat gajian, notifikasi BNI Mobile Banking spam banget, banyak yang gak penting total. Mending pindah ke Bank BRI aja kayaknya.",Bank BNI,negatif
"Minta saran dong, antara Bank BNI dan Bank BRI mana yang lebih worth it?",Bank BNI,netral
"Belakangan, tengah malam, teknologi AI di Bank Mandiri membantu deteksi fraud dengan akurat. Bank Mandiri setara dengan Bank BRI sih.",Bank BRI,negatif
"Sejak pakai, Bank BNI overall bagus, selain tarik tunai, fitur setor tunai di ATM Bank BNI sangat membantu dan reksadana di Bank BNI performanya konsisten bagus, beda cerita kalau keamanan data di Bank BNI perlu ditingkatkan lagi, masih was-was soal phising.",Bank BNI,campuran
"Belakangan, pas lagi butuh dana darurat, inovasi fintech Bank BRI selalu di depan dibanding kompetitor. Bank BRI hampir sama kayak Bank BCA sih.",Bank BRI,positif
