position,title,link,source,snippet,date,thumbnail
1,"Bank Mandiri Perkuat Komitmen, Jadi Penyalur FLPP dengan Tingkat Keterhunian Terbaik",https://infobanknews.com/bank-mandiri-perkuat-komitmen-jadi-penyalur-flpp-dengan-tingkat-keterhunian-terbaik/,Infobanknews,Fokus Penyaluran FLPP di 2025. “Peningkatan penyaluran KPR FLPP dan TAPERA oleh Bank Mandiri di tahun 2025 akan terus berlanjut dengan fokus pada pembentukan...,"Dec 26, 2024",https://f005.backblazeb2.com/file/hasdata-screenshots/3564b473-4921-4397-8ebe-ebea986831d9.jpeg
2,Cek Kode Top Up DANA lewat Virtual Account Bank Mandiri dan Syaratnya,https://finansial.kontan.co.id/news/cek-kode-top-up-dana-lewat-virtual-account-bank-mandiri-dan-syaratnya,kontan.co.id,2. Top Up DANA melalui Livin by Mandiri · Buka aplikasi Livin by Mandiri. · Klik Login. · Masukan Password dan klik Login. · Klik menu Top Up. · Kemudian pilih...,"Dec 26, 2024",https://f005.backblazeb2.com/file/hasdata-screenshots/125b2107-5b6b-4b98-9a2e-2f8d938a9dcb.jpeg
3,Wadirut Bank Mandiri Beberkan Tantangan Terbesar Jadi Pemimpin Perempuan - kumparan.com,https://kumparan.com/kumparanbisnis/wadirut-bank-mandiri-beberkan-tantangan-terbesar-jadi-pemimpin-perempuan-24BBBftBgH3,kumparan,Wadirut Bank Mandiri Beberkan Tantangan Terbesar Jadi Pemimpin Perempuan ... Wakil Direktur Utama PT Bank Mandiri (Persero) Tbk Alexandra Askandar membeberkan...,"Dec 26, 2024",https://f005.backblazeb2.com/file/hasdata-screenshots/c348567b-bc90-4bbf-afa8-478be36a7ff2.jpeg
4,"Laba Bank Mandiri Tumbuh 4,7% Menjadi Rp 47,17 Triliun hingga November 2024",https://katadata.co.id/finansial/korporasi/676d05238bf70/laba-bank-mandiri-tumbuh-4-7-menjadi-rp-47-17-triliun-hingga-november-2024,Katadata.co.id,"Ringkasan · Laba bersih PT Bank Mandiri meningkat 4,7% menjadi Rp 47,17 triliun hingga November 2024, didorong oleh kenaikan komisi/provisi. · Penurunan...","Dec 26, 2024",https://f005.backblazeb2.com/file/hasdata-screenshots/d878405b-8a2c-447a-ad05-f81f3cf46f32.jpeg
5,Bank Buka Tanggal Berapa? Ini Jadwal Libur-Operasional Khusus Selama Nataru,https://www.detik.com/sulsel/berita/d-7704499/bank-buka-tanggal-berapa-ini-jadwal-libur-operasional-khusus-selama-nataru,detikcom,"Memasuki libur Natal dan Tahun Baru, sejumlah instansi termasuk bank-bank menyesuaikan jadwal operasional layanannya. Simak jadwal detailnya di sini!","Dec 26, 2024",https://f005.backblazeb2.com/file/hasdata-screenshots/c5666211-01d4-4062-a3e0-bb350706b1bb.jpeg
6,"Permainan Kata Dibalik Tren Penamaan Aplikasi Mobile Banking, Lebih dari Sekadar Branding - Kompasiana.com",https://www.kompasiana.com/fery50973/676ce0f1ed641536a8443372/permainan-kata-dibalik-tren-penamaan-aplikasi-mobile-banking-lebih-dari-sekedar-branding?page=all&page_images=1,Kompasiana.com,"Apabila kita perhatikan, penamaan aplikasi mobile banking di beberapa bank di Indonesia polanya hampir serupa, misalnya aplikasi milik Bank Mandiri diberi...","Dec 26, 2024",https://f005.backblazeb2.com/file/hasdata-screenshots/f5bd5c26-36e5-4795-948e-3544f8dd021e.jpeg
7,"BI-FAST Punya Layanan Baru, Simak Tarifnya dan 9 Bank Peserta",https://www.theiconomics.com/innovation/bi-fast-punya-layanan-baru-simak-tarifnya-dan-9-bank-peserta/,Iconomics,Iconomics - Ada yang baru dari layanan BI-FAST yang dikembangkan Bank Indonesia (BI). Pengembangan tersebut berupa 3 layanan baru pada BI-FAST.,"Dec 26, 2024",https://f005.backblazeb2.com/file/hasdata-screenshots/b311f258-feb1-4b24-ad06-2778d72ee9b6.jpeg
8,"Isu Ini Bikin Takut Bank Besar, Tahun Depan Masih Berlanjut",https://www.cnbcindonesia.com/market/20241226204808-17-598849/isu-ini-bikin-takut-bank-besar-tahun-depan-masih-berlanjut,CNBC Indonesia,"Jakarta, CNBC Indonesia - Industri perbankan diperkirakan masih akan dibayangi oleh isu likuiditas hingga tahun depan. Selain memperebutkan dana masyarakat...","Dec 26, 2024",https://f005.backblazeb2.com/file/hasdata-screenshots/4d7462c1-8a1d-4b62-9ee4-6978cc684761.jpeg
9,"Siap-siap 2 Bansos Baru Cair Januari 2025, Ada Santunan Anak Yatim-Piatu Rp270 Ribu per Bulan",https://jabar.tribunnews.com/2024/12/26/siap-siap-2-bansos-baru-cair-januari-2025-ada-santunan-anak-yatim-piatu-rp270-ribu-per-bulan,Tribunjabar.id,Pemerintah melalui Kemensos berencana menggelontorkan bansos baru mulai Januari 2025. Salah satunya Santunan Anak Yatim-Piatu sebesar Rp270.000.,"Dec 26, 2024",https://f005.backblazeb2.com/file/hasdata-screenshots/e9f28067-b87b-44ad-8520-733dd645b3c4.jpeg
10,"Info Loker: Bank Mandiri Buka Kesempatan Karir Officer Development Program Business 2025, Batas Akhir",https://haijakarta.id/info-loker-bank-mandiri-buka-kesempatan-karir-officer-development-program-business-2025-batas-akhir-pendaftaran-desember-2024/,Haijakarta.id,"Info Loker: Bank Mandiri Buka Kesempatan Karir Officer Development Program Business 2025, Batas Akhir Pendaftaran Desember 2024! Yunita Ana. 26 Desember 2024 |...","Dec 26, 2024",https://f005.backblazeb2.com/file/hasdata-screenshots/d110df60-677c-4ab1-b27d-5001ffbe28ff.jpeg
